REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Belgium (incl. Luxembourg 'LU' -> 1998)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",4773729748
"Austria","Belgium (incl. Luxembourg 'LU' -> 1998)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",5428910103
"Austria","Belgium (incl. Luxembourg 'LU' -> 1998)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3508895098
"Austria","Belgium (incl. Luxembourg 'LU' -> 1998)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3969205130
"Austria","Bulgaria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",710405414
"Austria","Bulgaria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",679037449
"Austria","Bulgaria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1219446974
"Austria","Bulgaria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",1221375598
"Austria","Cyprus","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",25967571
"Austria","Cyprus","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",17031068
"Austria","Cyprus","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",110303935
"Austria","Cyprus","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",80746678
"Austria","Czechia","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",10073964618
"Austria","Czechia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",10019444952
"Austria","Czechia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",9643655674
"Austria","Czechia","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",8096018627
"Austria","Czechia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",6798104027
"Austria","Czechia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",7628122066
"Austria","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",77334657575
"Austria","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",76350100453
"Austria","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",57703652599
"Austria","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",57777056664
"Austria","Denmark","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",942009720
"Austria","Denmark","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",858329898
"Austria","Denmark","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1070882723
"Austria","Denmark","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",998144386
"Austria","Estonia","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",103648442
"Austria","Estonia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",81782241
"Austria","Estonia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",90103531
"Austria","Estonia","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",249780886
"Austria","Estonia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",222097456
"Austria","Estonia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",208669081
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",2907693364
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2833943669
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2873641041
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",3470359642
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3396512576
"Austria","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3596865888
"Austria","Finland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",536471431
"Austria","Finland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",496381215
"Austria","Finland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",667100782
"Austria","Finland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",740868117
"Austria","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",4899755911
"Austria","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",5183144406
"Austria","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",7157232095
"Austria","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",7069186074
"Austria","Greece","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",544161356
"Austria","Greece","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",331762828
"Austria","Greece","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",549876796
"Austria","Greece","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",902705230
"Austria","Greece","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",791783711
"Austria","Greece","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",950073670
"Austria","Croatia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1056761354
"Austria","Croatia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",1217665219
"Austria","Croatia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2003887404
"Austria","Croatia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2261740516
"Austria","Hungary","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",6106965339
"Austria","Hungary","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",5259791693
"Austria","Hungary","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",6105403615
"Austria","Hungary","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",8266972554
"Austria","Hungary","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",6986291466
